name,type,state_default,variant_properties,state_options
"Size=Small, Style=Minimal Fill","COMPONENT","","",""
"Size=Base ✦, Style=Fill","COMPONENT","","",""
"Size=Base ✦, Style=Border","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Border","COMPONENT","","",""
"Size=Base ✦, Style=Minimal Fill","COMPONENT","","",""
"Size=Base ✦, Style=Link","COMPONENT","","",""
"comp.button.error","COMPONENT_SET","","Size, Style, Hover",""
"Size=Large, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Large, Style=Border, Hover=False","COMPONENT","","",""
"Size=Large, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Large, Style=Link, Hover=False","COMPONENT","","",""
"Size=Large, Style=Border, Hover=True","COMPONENT","","",""
"Size=Large, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Large, Style=Link, Hover=True","COMPONENT","","",""
"Size=Large, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Large, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Large, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Border, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Border, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Link, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Hyperlink, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Hyperlink, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Border, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Link, Hover=True","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Extra Small, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Small, Style=Fill, Hover=False","COMPONENT","","",""
"Size=Small, Style=Fill, Hover=True","COMPONENT","","",""
"Size=Small, Style=Border, Hover=False","COMPONENT","","",""
"Size=Small, Style=Minimal Border, Hover=False","COMPONENT","","",""
"Size=Small, Style=Minimal Fill, Hover=False","COMPONENT","","",""
"Size=Small, Style=Minimal Fill, Hover=True","COMPONENT","","",""
"Size=Small, Style=Link, Hover=False","COMPONENT","","",""
